City	Shape	CountofShape
Lubbock	Fireball	2
Lubbock	Cylinder	2
Lubbock	Circle	4
Lubbock	Cigar	2
Lubbock	Chevron	2
Lubbock	Changing	1
Los Fresnos	Sphere	1
Los Fresnos	Light	1
Lorenzo	Light	1
Loredo	Formation	1
Longview	Unknown	2
Longview	Triangle	5
Longview	Other	1
Longview	Light	2
Longview	Fireball	1
Longview	Disk	1
Longview	Circle	3
Longview	Cigar	1
Lone Grove	Fireball	1
Lometa	Triangle	1
Lometa	Disk	1
Lockhart	Other	1
Livingston	Sphere	1
Livingston	Rectangle	1
Livingston	Other	1
Livingston	Light	4
Livingston	Disk	1
Livingston	Circle	1
Liverpool	Circle	1
Littlefield	Rectangle	1
Little Elm	Triangle	1
Little Elm	Light	1
Littig	Triangle	2
Lipan	Other	1
Lindsay	Unknown	1
Lindsay	Light	1
Lindale	Triangle	1
Lindale	Light	1
Lindale	Chevron	1
Liberty Hill	Unknown	1
Liberty Hill	Oval	2
Liberty Hill	Other	1
Liberty Hill	Light	1
Liberty Hill	Flash	1
Liberty Hill	Changing	1
Liberty	Light	1
Lexington	Unknown	2
Lexington	Triangle	1
Lexington	Rectangle	1
Lexington	Light	1
Lewisville Lake	Oval	1
Lewisville Lake	Light	1
Lewisville	Unknown	3
Lewisville	Triangle	1
Lewisville	Sphere	2
Lewisville	Oval	2
Lewisville	Other	1
Lewisville	Light	4
Lewisville	Formation	3
Lewisville	Flash	1
Lewisville	Fireball	1
Lewisville	Egg	1
Lewisville	Cylinder	3
Lewisville	Circle	4
Lewisville	Changing	1
Levelland	Unknown	1
Leon Valley	Formation	1
Leander-Jarrell	Unknown	1
Leander	Unknown	2
Leander	Sphere	1
Leander	Oval	1
Leander	Light	2
Leander	Cylinder	1
Leander	Cigar	1
Leakey	Oval	1
Leakey	Light	4
Leagueville	Triangle	1
League City	Unknown	3
League City	Triangle	1
League City	Sphere	2
League City	Oval	1
League City	Other	1
League City	Light	2
League City	Fireball	1
League City	Disk	1
League City	Circle	1
Lavon	Light	1
Lavon	Fireball	1
Laredo	Unknown	2
Laredo	Triangle	1
Laredo	Sphere	2
Laredo	Oval	1
Laredo	Other	2
Laredo	Fireball	1
Laredo	Disk	1
Laredo	Circle	2
Laredo	Changing	1
Lantana	Circle	1
Lantana	Changing	1
Lancaster	Light	1
Lampasas	Light	2
Lampasas	Circle	1
Lamesa	Egg	1
Lamesa	Circle	1
Lakeway	Unknown	1
Lakeway	Triangle	1
Lakeway	Sphere	2
Lakeway	Rectangle	1
Lakeway	Disk	1
Lakehills	Sphere	2
Lakehills	Light	1
Lakehills	Formation	1
Lake Worth	Unknown	2
Lake Worth	Chevron	1
Lake Whitney	Triangle	1
Lake Whitney	Light	1
Lake Waco	Egg	1
Lake Victor	Sphere	1
Lake Texoma	Triangle	1
Lake Texoma	Circle	1
Lake Tawakoni	Unknown	1
Lake Tawakoni	Fireball	1
Lake Tawakoni	Cigar	1
Lake Tawakine	Other	1
Lake Kiowa	Triangle	1
Lake Kiowa	Rectangle	1
Lake Jackson	Unknown	2
Lake Jackson	Other	1
Lake Jackson	Light	1
Lake Jackson	Fireball	2
Lake Jackson	Disk	1
Lake Jackson	Circle	3
Lake Jackson	Cigar	1
Lake Ft Phantom	Circle	1
Lake Fork	Light	2
Lake Dallas	Rectangle	1
Lake Dallas	Fireball	1
Lake Conroe	Light	2
Lake Conroe	Circle	1
Laguna Vista	Oval	1
Laguna Vista	Disk	1
Laguna Park	Cigar	1
Lago Vista	Triangle	1
Lago Vista	Light	1
Lago Vista	Formation	1
