City	MonthofDate	Shape	CountofShape
Maud	April 2014	Triangle	1
Port Arthur	April 2014	Cigar	1
North Zulch	April 2014	Light	1
Memphis	April 2014	Rectangle	1
Gun Barrel City	April 2014	Other	1
Paris	April 2014	Sphere	1
Waxahachie	April 2014	Teardrop	1
Texarkana	April 2014	Unknown	1
Mesquite	April 2014	Cylinder	1
Odessa	April 2014	Unknown	1
Spring	April 2014	Light	1
Denton	April 2014	Unknown	1
El Paso	April 2014	Oval	1
San Antonio	April 2014	*	3
Austin	April 2014	*	2
Houston	April 2014	Sphere	1
Gun Barrel City	March 2014	Unknown	1
Kemah	March 2014	Unknown	1
Texas City	March 2014	Changing	1
Lewisville	March 2014	Formation	1
San Angelo	March 2014	Unknown	1
Spring	March 2014	Fireball	1
Plano	March 2014	Other	1
Arlington	March 2014	*	2
Corpus Christi	March 2014	Cylinder	1
Houston	March 2014	*	2
TX	February 2014	Unknown	1
Lake Ft Phantom	February 2014	Circle	1
Fritch	February 2014	Light	1
Hockley	February 2014	Sphere	1
Breckenridge	February 2014	Oval	1
Unknown	February 2014	Oval	1
Plano	February 2014	Light	1
Dallas	February 2014	Triangle	1
Houston	February 2014	*	2
Scurry	January 2014	Circle	1
Omaha	January 2014	Formation	1
Garden Ridge	January 2014	Unknown	1
Crystal Spring	January 2014	Oval	1
Crystal City	January 2014	Flash	1
Little Elm	January 2014	Triangle	1
Nixon	January 2014	Circle	1
Lake Tawakoni	January 2014	Fireball	1
Marshall	January 2014	Sphere	1
Palestine	January 2014	Triangle	1
Angleton	January 2014	Flash	1
Pflugerville	January 2014	Formation	1
McAllen	January 2014	Teardrop	1
New Braunfels	January 2014	Teardrop	1
Conroe	January 2014	Sphere	1
San Marcos	January 2014	Disk	1
Lewisville	January 2014	Light	1
Lubbock	January 2014	Light	1
Fort Worth	January 2014	Oval	1
El Paso	January 2014	*	2
San Antonio	January 2014	Fireball	3
Austin	January 2014	*	5
Houston	January 2014	Circle	1
Palacios	December 2013	Cylinder	1
Sweeny	December 2013	Sphere	1
Aubrey	December 2013	Fireball	1
Dripping Springs	December 2013	Cigar	1
The Colony	December 2013	Circle	1
League City	December 2013	Light	1
Spring	December 2013	*	2
Arlington	December 2013	Sphere	1
Corpus Christi	December 2013	Sphere	1
Fort Worth	December 2013	Light	1
Dallas	December 2013	Triangle	1
San Antonio	December 2013	Disk	1
Austin	December 2013	*	2
Wizard Wells	November 2013	Other	1
Pipe Creek	November 2013	Sphere	1
Lometa	November 2013	Triangle	1
Weslaco	November 2013	Cone	1
Pampa	November 2013	Fireball	1
Freeport	November 2013	Light	1
Boerne	November 2013	Circle	1
Buda	November 2013	Triangle	1
Webster	November 2013	Circle	1
Port Neches	November 2013	Light	1
Livingston	November 2013	Other	1
Tomball	November 2013	Triangle	1
Irving	November 2013	Fireball	1
San Angelo	November 2013	Light	1
Lubbock	November 2013	Unknown	1
Plano	November 2013	Unknown	1
Arlington	November 2013	*	2
Houston	November 2013	*	4
Sisterdale	October 2013	Formation	1
Newark	October 2013	Circle	1
Manor	October 2013	Light	1
Uvalde	October 2013	Unknown	1
Marfa	October 2013	Rectangle	1
Coppell	October 2013	Other	1
Sugar Land	October 2013	Fireball	1
Frisco	October 2013	Unknown	1
Brownsville	October 2013	Circle	1
Mansfield	October 2013	Triangle	1
Grand Prairie	October 2013	Oval	1
Bryan	October 2013	Cigar	1
Irving	October 2013	Cylinder	1
Lewisville	October 2013	Light	1
Garland	October 2013	*	2
Katy	October 2013	*	3
Arlington	October 2013	Sphere	1
Fort Worth	October 2013	Cylinder	1
Dallas	October 2013	*	3
San Antonio	October 2013	Triangle	1
Austin	October 2013	*	4
Houston	October 2013	Sphere	1
Pyote	September 2013	Triangle	1
Buna	September 2013	Light	1
Childress	September 2013	Light	1
Sachse	September 2013	Sphere	1
Magnolia	September 2013	Light	1
Celina	September 2013	Sphere	1
Kingwood	September 2013	Light	1
Cedar Park	September 2013	Cigar	1
Grand Prairie	September 2013	*	2
Bryan	September 2013	Light	1
Killeen	September 2013	Unknown	1
Tomball	September 2013	Disk	1
San Marcos	September 2013	Light	1
College Station	September 2013	Light	1
Round Rock	September 2013	Disk	1
Arlington	September 2013	Fireball	1
Fort Worth	September 2013	Light	1
Dallas	September 2013	Unknown	1
San Antonio	September 2013	*	2
Austin	September 2013	Changing	1
Houston	September 2013	Circle	1
Concan	August 2013	Circle	1
Commerce	August 2013	Sphere	1
Woodville	August 2013	Sphere	1
Hutto	August 2013	Light	1
Comfort	August 2013	Light	1
Santa Fe	August 2013	Fireball	1
Kerrville	August 2013	Circle	1
Glen Rose	August 2013	Circle	1
Watauga	August 2013	Light	1
Lake Jackson	August 2013	Light	1
Azle	August 2013	Cigar	1
Georgetown	August 2013	Circle	1
Baytown	August 2013	Other	1
Garland	August 2013	Fireball	1
Round Rock	August 2013	Sphere	1
Corpus Christi	August 2013	Circle	1
El Paso	August 2013	Light	1
